,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
82,1000BTTUSDT,DUSKUSDT,0.0,-14.14,-3.37,0.01,2
81,1000BTTUSDT,DOTUSDT,0.0,-14.14,-3.37,0.0,2
80,1000BTTUSDT,DOGEUSDT,0.0,-14.13,-3.37,0.02,2
92,1000BTTUSDT,FILUSDT,0.0,-14.15,-3.37,0.0,2
79,1000BTTUSDT,DODOUSDT,0.0,-14.15,-3.37,0.01,2
78,1000BTTUSDT,DGBUSDT,0.0,-14.13,-3.37,0.15,2
93,1000BTTUSDT,FLMUSDT,0.0,-14.13,-3.37,0.01,2
88,1000BTTUSDT,ETCUSDT,0.0,-14.18,-3.37,0.0,2
782,SUNUSDT,ETHUSDT,0.0,-4.81,-3.37,0.0,2
60,1000BTTUSDT,CFXUSDT,0.0,-14.17,-3.37,0.0,2
65,1000BTTUSDT,COREUSDT,0.0,-14.15,-3.37,0.0,2
64,1000BTTUSDT,COMPUSDT,0.0,-14.14,-3.37,0.0,2
43,1000BTTUSDT,BCHUSDT,0.0,-14.14,-3.37,0.0,2
42,1000BTTUSDT,BATUSDT,0.0,-14.16,-3.37,0.01,2
41,1000BTTUSDT,BANDUSDT,0.0,-14.14,-3.37,0.0,2
40,1000BTTUSDT,BALUSDT,0.0,-14.15,-3.37,0.0,2
39,1000BTTUSDT,BAKEUSDT,0.0,-14.14,-3.37,0.01,2
38,1000BTTUSDT,AXSUSDT,0.0,-14.14,-3.37,0.0,2
37,1000BTTUSDT,AVAXUSDT,0.0,-14.13,-3.37,0.0,2
36,1000BTTUSDT,AUDIOUSDT,0.0,-14.13,-3.37,0.0,2
20,1000BTTUSDT,AGIXUSDT,0.0,-14.17,-3.37,0.0,2
35,1000BTTUSDT,ATOMUSDT,0.0,-14.13,-3.37,0.0,2
21,1000BTTUSDT,AGLDUSDT,0.0,-14.19,-3.37,0.0,2
34,1000BTTUSDT,ASTRUSDT,0.0,-14.17,-3.37,0.02,2
33,1000BTTUSDT,ARUSDT,0.0,-14.15,-3.37,0.0,2
22,1000BTTUSDT,AKROUSDT,0.0,-14.16,-3.37,0.31,2
754,SUNUSDT,1INCHUSDT,0.05,-3.38,-3.37,0.01,2
32,1000BTTUSDT,ARPAUSDT,0.0,-14.13,-3.37,0.04,2
23,1000BTTUSDT,ALGOUSDT,0.0,-14.17,-3.37,0.01,2
24,1000BTTUSDT,ALICEUSDT,0.0,-14.13,-3.37,0.0,2
31,1000BTTUSDT,ARBUSDT,0.0,-14.16,-3.37,0.0,2
749,STORJUSDT,LDOUSDT,0.03,-3.51,-3.37,0.16,2
30,1000BTTUSDT,APTUSDT,0.0,-14.18,-3.37,0.0,2
29,1000BTTUSDT,API3USDT,0.0,-14.17,-3.37,0.0,2
28,1000BTTUSDT,APEUSDT,0.0,-14.16,-3.37,0.0,2
27,1000BTTUSDT,ANTUSDT,0.0,-14.14,-3.37,0.0,2
26,1000BTTUSDT,ANKRUSDT,0.0,-14.14,-3.37,0.04,2
44,1000BTTUSDT,BELUSDT,0.0,-14.14,-3.37,0.0,2
45,1000BTTUSDT,BITUSDT,0.0,-14.13,-3.37,0.0,2
46,1000BTTUSDT,BLURUSDT,0.0,-14.15,-3.37,0.0,2
55,1000BTTUSDT,C98USDT,0.0,-14.14,-3.37,0.01,2
63,1000BTTUSDT,COCOSUSDT,0.0,-14.18,-3.37,0.0,2
62,1000BTTUSDT,CKBUSDT,0.0,-14.14,-3.37,0.35,2
61,1000BTTUSDT,CHZUSDT,0.0,-14.13,-3.37,0.01,2
13,1000BTTUSDT,1000FLOKIUSDT,0.0,-14.13,-3.37,0.04,2
25,1000BTTUSDT,ALPHAUSDT,0.0,-14.13,-3.37,0.01,2
59,1000BTTUSDT,CELUSDT,0.0,-14.18,-3.37,0.0,2
776,SUNUSDT,DASHUSDT,0.01,-3.9,-3.37,0.0,2
58,1000BTTUSDT,CELRUSDT,0.0,-14.28,-3.37,0.06,2
14,1000BTTUSDT,1000LUNCUSDT,0.0,-14.17,-3.37,0.01,2
57,1000BTTUSDT,CELOUSDT,0.0,-14.14,-3.37,0.0,2
56,1000BTTUSDT,CEEKUSDT,0.0,-14.16,-3.37,0.02,2
15,1000BTTUSDT,1000XECUSDT,0.0,-14.16,-3.37,0.05,2
47,1000BTTUSDT,BLZUSDT,0.0,-14.14,-3.37,0.02,2
54,1000BTTUSDT,BUSDUSDT,0.0,-14.15,-3.37,0.0,2
53,1000BTTUSDT,BTCUSDT,0.0,-14.19,-3.37,0.0,2
52,1000BTTUSDT,BSWUSDT,0.0,-14.17,-3.37,0.01,2
16,1000BTTUSDT,1INCHUSDT,0.0,-14.15,-3.37,0.0,2
51,1000BTTUSDT,BSVUSDT,0.0,-14.16,-3.37,0.0,2
17,1000BTTUSDT,AAVEUSDT,0.0,-14.16,-3.37,0.0,2
50,1000BTTUSDT,BOBAUSDT,0.0,-14.13,-3.37,0.01,2
49,1000BTTUSDT,BNXUSDT,0.0,-14.15,-3.37,0.0,2
18,1000BTTUSDT,ACHUSDT,0.0,-14.15,-3.37,0.04,2
48,1000BTTUSDT,BNBUSDT,0.0,-14.15,-3.37,0.0,2
19,1000BTTUSDT,ADAUSDT,0.0,-14.14,-3.37,0.0,2
97,1000BTTUSDT,FXSUSDT,0.0,-14.15,-3.37,0.0,2
245,PAXGUSDT,BLURUSDT,0.0,-4.55,-3.37,2847.87,2
98,1000BTTUSDT,GALAUSDT,0.0,-14.15,-3.37,0.03,2
949,TUSDT,MAGICUSDT,0.03,-3.52,-3.37,0.02,2
147,1000BTTUSDT,NEARUSDT,0.0,-14.13,-3.37,0.0,2
146,1000BTTUSDT,MTLUSDT,0.0,-14.16,-3.37,0.0,2
145,1000BTTUSDT,MKRUSDT,0.0,-14.14,-3.37,0.0,2
144,1000BTTUSDT,MINAUSDT,0.0,-14.15,-3.37,0.0,2
99,1000BTTUSDT,GALUSDT,0.0,-14.17,-3.37,0.0,2
143,1000BTTUSDT,MATICUSDT,0.0,-14.15,-3.37,0.0,2
1172,XMRUSDT,FXSUSDT,0.03,-3.56,-3.37,16.36,2
142,1000BTTUSDT,MASKUSDT,0.0,-14.19,-3.37,0.0,2
342,PAXGUSDT,MATICUSDT,0.0,-5.31,-3.37,1778.3,2
141,1000BTTUSDT,MANAUSDT,0.0,-14.13,-3.37,0.0,2
140,1000BTTUSDT,MAGICUSDT,0.0,-14.17,-3.37,0.0,2
1186,XMRUSDT,LDOUSDT,0.0,-5.01,-3.37,65.87,2
350,PAXGUSDT,OGNUSDT,0.0,-5.09,-3.37,15689.82,2
139,1000BTTUSDT,LUNA2USDT,0.0,-14.19,-3.37,0.0,2
138,1000BTTUSDT,LTCUSDT,0.0,-14.13,-3.37,0.0,2
137,1000BTTUSDT,LRCUSDT,0.0,-14.14,-3.37,0.0,2
136,1000BTTUSDT,LQTYUSDT,0.0,-14.17,-3.37,0.0,2
135,1000BTTUSDT,LPTUSDT,0.0,-14.15,-3.37,0.0,2
134,1000BTTUSDT,LOOKSUSDT,0.0,-14.19,-3.37,0.01,2
148,1000BTTUSDT,NEOUSDT,0.0,-14.14,-3.37,0.0,2
323,PAXGUSDT,JSTUSDT,0.0,-5.13,-3.37,73541.12,2
132,1000BTTUSDT,LINKUSDT,0.0,-14.16,-3.37,0.0,2
149,1000BTTUSDT,NKNUSDT,0.0,-14.18,-3.37,0.01,2
233,PAXGUSDT,ASTRUSDT,0.0,-5.05,-3.37,28968.29,2
275,PAXGUSDT,DASHUSDT,0.0,-5.05,-3.37,35.41,2
215,PAXGUSDT,1INCHUSDT,0.0,-4.91,-3.37,3690.93,2
214,PAXGUSDT,1000XECUSDT,0.0,-4.96,-3.37,64069.32,2
283,PAXGUSDT,EGLDUSDT,0.0,-4.94,-3.37,48.04,2
211,PAXGUSDT,1000BTTUSDT,0.0,-4.15,-3.37,18643.46,2
288,PAXGUSDT,ETHUSDT,0.0,-5.26,-3.37,0.99,2
293,PAXGUSDT,FLOWUSDT,0.0,-5.09,-3.37,1988.37,2
296,PAXGUSDT,FXSUSDT,0.0,-4.86,-3.37,206.45,2
301,PAXGUSDT,GMTUSDT,0.0,-5.21,-3.37,5290.15,2
1000,USDCUSDT,ICXUSDT,0.0,-4.13,-3.37,2.96,2
163,ONTUSDT,10000NFTUSDT,0.04,-3.38,-3.37,71.31,2
1129,XLMUSDT,AGIXUSDT,0.03,-3.5,-3.37,0.25,2
307,PAXGUSDT,HFTUSDT,0.0,-4.78,-3.37,2934.12,2
313,PAXGUSDT,ICXUSDT,0.0,-5.03,-3.37,5968.11,2
152,1000BTTUSDT,OMGUSDT,0.0,-14.15,-3.37,0.0,2
151,1000BTTUSDT,OGNUSDT,0.0,-14.14,-3.37,0.01,2
150,1000BTTUSDT,OCEANUSDT,0.0,-14.15,-3.37,0.0,2
959,UNIUSDT,AGIXUSDT,0.04,-3.46,-3.37,14.85,2
133,1000BTTUSDT,LITUSDT,0.0,-14.14,-3.37,0.0,2
112,1000BTTUSDT,HOTUSDT,0.0,-14.13,-3.37,0.74,2
131,1000BTTUSDT,LINAUSDT,0.0,-14.17,-3.37,0.12,2
115,1000BTTUSDT,IDUSDT,0.0,-14.14,-3.37,0.0,2
443,QNTUSDT,GALUSDT,0.0,-7.63,-3.37,58.12,2
120,1000BTTUSDT,IOTAUSDT,0.0,-14.16,-3.37,0.01,2
119,1000BTTUSDT,IOSTUSDT,0.0,-14.14,-3.37,0.14,2
118,1000BTTUSDT,INJUSDT,0.0,-14.13,-3.37,0.0,2
102,1000BTTUSDT,GMTUSDT,0.0,-14.17,-3.37,0.0,2
103,1000BTTUSDT,GMXUSDT,0.0,-14.14,-3.37,0.0,2
117,1000BTTUSDT,IMXUSDT,0.0,-14.19,-3.37,0.0,2
104,1000BTTUSDT,GPTUSDT,0.0,-14.16,-3.37,0.02,2
116,1000BTTUSDT,ILVUSDT,0.0,-14.15,-3.37,0.0,2
114,1000BTTUSDT,ICXUSDT,0.0,-14.3,-3.37,0.0,2
122,1000BTTUSDT,JASMYUSDT,0.0,-14.13,-3.37,0.24,2
113,1000BTTUSDT,ICPUSDT,0.0,-14.25,-3.37,0.0,2
105,1000BTTUSDT,GRTUSDT,0.0,-14.13,-3.37,0.01,2
111,1000BTTUSDT,HOOKUSDT,0.0,-14.13,-3.37,0.0,2
106,1000BTTUSDT,GTCUSDT,0.0,-14.19,-3.37,0.0,2
110,1000BTTUSDT,HNTUSDT,0.0,-14.14,-3.37,0.0,2
109,1000BTTUSDT,HIGHUSDT,0.0,-14.14,-3.37,0.0,2
107,1000BTTUSDT,HBARUSDT,0.0,-14.19,-3.37,0.02,2
108,1000BTTUSDT,HFTUSDT,0.0,-14.16,-3.37,0.0,2
415,QNTUSDT,CELUSDT,0.0,-7.18,-3.37,347.35,2
121,1000BTTUSDT,IOTXUSDT,0.0,-14.19,-3.37,0.06,2
101,1000BTTUSDT,GLMRUSDT,0.0,-14.13,-3.37,0.0,2
126,1000BTTUSDT,KDAUSDT,0.0,-14.14,-3.37,0.0,2
844,SUSHIUSDT,MAGICUSDT,0.02,-3.73,-3.37,0.8,2
130,1000BTTUSDT,LDOUSDT,0.0,-14.19,-3.37,0.0,2
125,1000BTTUSDT,KAVAUSDT,0.0,-14.15,-3.37,0.0,2
129,1000BTTUSDT,KSMUSDT,0.0,-14.22,-3.37,0.0,2
128,1000BTTUSDT,KNCUSDT,0.0,-14.17,-3.37,0.0,2
100,1000BTTUSDT,GFTUSDT,0.0,-14.17,-3.37,0.03,2
123,1000BTTUSDT,JOEUSDT,0.0,-14.13,-3.37,0.0,2
124,1000BTTUSDT,JSTUSDT,0.0,-14.16,-3.37,0.06,2
127,1000BTTUSDT,KLAYUSDT,0.0,-14.26,-3.37,0.01,2
298,PAXGUSDT,GALUSDT,0.0,-5.31,-3.37,1004.73,1
294,PAXGUSDT,FLRUSDT,0.0,-5.11,-3.37,59363.86,1
258,PAXGUSDT,CELUSDT,0.0,-5.1,-3.37,6003.56,1
278,PAXGUSDT,DODOUSDT,0.0,-5.16,-3.37,11011.32,1
1110,XEMUSDT,CELUSDT,0.01,-3.92,-3.37,0.12,1
1004,USDCUSDT,MASKUSDT,0.02,-3.61,-3.37,0.18,1
1002,USDCUSDT,IOTXUSDT,0.03,-3.5,-3.37,35.66,1
241,PAXGUSDT,BATUSDT,0.0,-5.07,-3.37,7315.96,1
239,PAXGUSDT,BALUSDT,0.0,-5.28,-3.37,289.82,1
1104,XEMUSDT,ALGOUSDT,0.04,-3.44,-3.37,0.19,1
697,SSVUSDT,CVXUSDT,0.0,-4.52,-3.37,5.52,1
216,PAXGUSDT,AAVEUSDT,0.0,-5.11,-3.37,25.46,1
232,PAXGUSDT,ARUSDT,0.0,-5.02,-3.37,229.11,1
259,PAXGUSDT,CFXUSDT,0.0,-5.18,-3.37,5659.82,1
287,PAXGUSDT,ETCUSDT,0.0,-5.15,-3.37,93.93,1
286,PAXGUSDT,EOSUSDT,0.0,-5.15,-3.37,1698.04,1
268,PAXGUSDT,CRVUSDT,0.0,-5.03,-3.37,1939.6,1
213,PAXGUSDT,1000LUNCUSDT,0.0,-5.37,-3.37,16392.64,1
229,PAXGUSDT,APTUSDT,0.0,-5.33,-3.37,166.86,1
228,PAXGUSDT,API3USDT,0.0,-5.29,-3.37,1228.07,1
998,USDCUSDT,BALUSDT,0.04,-3.45,-3.37,0.14,1
227,PAXGUSDT,APEUSDT,0.0,-5.23,-3.37,460.68,1
222,PAXGUSDT,ALGOUSDT,0.0,-5.07,-3.37,9332.35,1
999,USDCUSDT,ETCUSDT,0.03,-3.58,-3.37,0.05,1
316,PAXGUSDT,IMXUSDT,0.0,-5.16,-3.37,1803.3,1
997,USDCUSDT,APEUSDT,0.05,-3.37,-3.37,0.23,1
791,SUNUSDT,ILVUSDT,0.01,-4.0,-3.37,0.0,1
793,SUNUSDT,IOTXUSDT,0.0,-5.13,-3.37,0.22,1
792,SUNUSDT,IOTAUSDT,0.01,-4.01,-3.37,0.03,1
764,SUNUSDT,BALUSDT,0.02,-3.71,-3.37,0.0,1
774,SUNUSDT,CELUSDT,0.0,-4.63,-3.37,0.02,1
1175,XMRUSDT,GTCUSDT,0.0,-4.26,-3.37,87.19,1
341,PAXGUSDT,MASKUSDT,0.0,-5.24,-3.37,370.21,1
1182,XMRUSDT,IOTXUSDT,0.04,-3.39,-3.37,5694.93,1
1163,XMRUSDT,CELUSDT,0.0,-4.18,-3.37,475.99,1
1184,XMRUSDT,KAVAUSDT,0.01,-3.99,-3.37,177.69,1
789,SUNUSDT,GTCUSDT,0.0,-4.2,-3.37,0.0,1
777,SUNUSDT,DODOUSDT,0.0,-4.18,-3.37,0.03,1
351,PAXGUSDT,OMGUSDT,0.0,-5.25,-3.37,1435.93,1
787,SUNUSDT,GALUSDT,0.0,-4.57,-3.37,0.0,1
1293,YFIUSDT,USDCUSDT,0.01,-3.92,-3.37,8854.43,1
334,PAXGUSDT,LPTUSDT,0.0,-5.06,-3.37,319.37,1
795,SUNUSDT,KAVAUSDT,0.0,-4.76,-3.37,0.01,1
753,SUNUSDT,1000LUNCUSDT,0.0,-4.49,-3.37,0.05,1
319,PAXGUSDT,IOTAUSDT,0.0,-5.0,-3.37,9187.0,1
813,SUNUSDT,OMGUSDT,0.0,-4.54,-3.37,0.0,1
305,PAXGUSDT,GTCUSDT,0.0,-5.1,-3.37,1100.03,1
755,SUNUSDT,AAVEUSDT,0.0,-4.13,-3.37,0.0,1
803,SUNUSDT,MASKUSDT,0.0,-5.32,-3.37,0.0,1
315,PAXGUSDT,ILVUSDT,0.0,-5.27,-3.37,32.6,1
369,PEOPLEUSDT,JSTUSDT,0.01,-3.83,-3.37,0.85,1
320,PAXGUSDT,IOTXUSDT,0.0,-5.37,-3.37,71858.35,1
762,SUNUSDT,ARUSDT,0.03,-3.49,-3.37,0.0,1
1148,XMRUSDT,AAVEUSDT,0.0,-4.43,-3.37,2.02,1
1151,XMRUSDT,ALGOUSDT,0.0,-4.79,-3.37,739.77,1
324,PAXGUSDT,KAVAUSDT,0.0,-5.27,-3.37,2242.07,1
1153,XMRUSDT,APTUSDT,0.05,-3.37,-3.37,13.22,1
327,PAXGUSDT,KNCUSDT,0.0,-5.03,-3.37,2654.8,1
761,SUNUSDT,APTUSDT,0.0,-5.32,-3.37,0.0,1
338,PAXGUSDT,LUNA2USDT,0.0,-5.26,-3.37,1477.28,1
